Description,Company ID,Location,Account,Department,Project,Project Name
Modules O&M: Panel Cleaning,75561,RBS1,,,RBS125P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75562,RBS2,,,RBS225B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75562,RBS2,,,RBS225B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75562,RBS2,,,RBS225B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75562,RBS2,,,RBS225B004,BoP: Vegetation Management 
BoP: Civil BoP,75562,RBS2,,,RBS225B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75562,RBS2,,,RBS225G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75562,RBS2,,,RBS225G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75562,RBS2,,,RBS225G006,Preventative Mntce: Site 
Ops Support: Site Specific,75562,RBS2,,,RBS225G007,Ops Support: Site Specific
Issuance Fee,75562,RBS2,,,RBS225G008,Issuance Fee
Community Benefit,75562,RBS2,,,RBS225G009,Community Benefit
NERC Compliance,75562,RBS2,,,RBS225G010,NERC Compliance
Environmental Compliance,75562,RBS2,,,RBS225G011,Environmental Compliance
Facilities,75562,RBS2,,,RBS225G012,Facilities
Information Technology,75562,RBS2,,,RBS225G013,IT
Light & Heat,75562,RBS2,,,RBS225G014,Light & Heat
Interconnection Fees,75562,RBS2,,,RBS225G015,Interconnection Fees
Waste Management,75562,RBS2,,,RBS225G016,Waste Management
Site Security,75562,RBS2,,,RBS225G017,Site Security
IT: Telecoms,75562,RBS2,,,RBS225G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75562,RBS2,,,RBS225I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75562,RBS2,,,RBS225I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75562,RBS2,,,RBS225I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75562,RBS2,,,RBS225M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75562,RBS2,,,RBS225P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75562,RBS2,,,RBS225P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75562,RBS2,,,RBS225P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75562,RBS2,,,RBS225P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75563,WDW2,,,WDW225B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75563,WDW2,,,WDW225B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75563,WDW2,,,WDW225B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75563,WDW2,,,WDW225B004,BoP: Vegetation Management 
BoP: Civil BoP,75563,WDW2,,,WDW225B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75563,WDW2,,,WDW225G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75563,WDW2,,,WDW225G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75563,WDW2,,,WDW225G006,Preventative Mntce: Site 
