Description,Company ID,Location,Department,Project,Account,Account Name
IT Allocation to Wind & Solar Assets,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWS,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
IT Allocation to Wind Assets,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWIND,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
IT Allocation to Solar Assets,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITSLR,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Deriva ETRM RFP selection and ETRM implementation,"(75736) Deriva Energy Services, LLC",DSOL,,DETRMRFP25,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Core ERP,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24001,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Core HRIS System,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24002,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
New Deriva HRIS,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24003,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
IT and HR Helpdesk Solution ,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24004,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
ETRM Solution & Bid to Bill,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24005,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
"Operational Data Management (PI Systems), EMS, Meters","(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24006,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Integration Layer & Data Analytics,"(75736) Deriva Energy Services, LLC",DSOL,8032,DSOLM24007,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
"Core Workflow Management [Maximo (Projetech), PasTa, EZMax ]","(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24008,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Other Key apps for cloning and extraction,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24009,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Data Center & Colo Migration,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24010,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Sites migrations,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24011,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Cloud Foundation Setup,"(75736) Deriva Energy Services, LLC",DSOL,8032,DSOLM24012,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Network and Telecom Setup,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24013,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Cybersecurity and AD Setup,"(75736) Deriva Energy Services, LLC",DSOL,8033,DSOLM24014,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
"Email, SharePoint & End User Compute Setup","(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24015,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Other IT Infra Tools Setup,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24016,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Physical Security Setup (Sites),"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24017,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
Oracle ERP,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24018,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
