IT Charging Guidelines,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,"Concur, Timesheets, Maximo, Basware, IFS",,,,,,,,,
Description,,Company id,Location,Department,Project,Activity,Expense Type,Account,Account Name,Account Group,
PVSYST,,"(77079) Deriva Energy Sub I, LLC",DCS4,8030,,,,514301,IT Software,Computer Expenses,
Arc Pro,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Aarc Cad Civil 3D,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
ArcGIS Pro,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Siemens PSSE,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWS,,,514301,IT Software,Computer Expenses,
SKM Systems Analysis,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
PowerDB Pro,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Articulate license,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
ISNetworld,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Open Meteo (RCC),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Force5 (CliqKey) (RCC),,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,514301,IT Software,Computer Expenses,
CES WAN XML Data Services ,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,513102,Telecom - Telephone,Communications (IT & Telecoms),
Oracle NetSuite,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Caravel (project cost) (one time),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,515200,Consultant Other,Consultant fees,
Work Day,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Work Day - change orders,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,515200,Consultant Other,Consultant fees,
Top Bloc (workday support),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,515200,Consultant Other,Consultant fees,
Karta,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,514301,IT Software,Computer Expenses,
Lumen,,"(75736) Deriva Energy Services, LLC",DSOL,8033,DSOLITWSB,,,515200,Consultant Other,Consultant fees,
CGI SOC,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
Tenable,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,514301,IT Software,Computer Expenses,
KnowBe4,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,514301,IT Software,Computer Expenses,
BDO/DataBrix,,"(75736) Deriva Energy Services, LLC",DSOL,8032,,,,514301,IT Software,Computer Expenses,
Hartigen support for PowerOptix ,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,515200,Consultant Other,Consultant fees,
