LOCATION,LOCATION NAME,COMPANY,PROJECT_ID,NAME,DESCRIPTION,ACTIVITY_SEQ,PLAN_START,PLAN_FINISH,PROGRAM_ID,ACTIVITY_NO,DESCRIPTION,PROJECT_ACTIVITY,,Project (NS),Activity (NS),Activity Desc(NS)
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25M007,Solar O&M: Major Corrective,Solar O&M: Major Corrective,100021647,1/1/2025,3/31/2026,OM,10,General,BATL25M007.100.10,2025 load addition,BATLOM,OM408,OM - Solar OM: Major Corrective
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25P001,Modules O&M: Preventative Mntce,Modules O&M: Preventative Mntce,100022334,1/1/2025,3/31/2026,OM,10,General,BATL25P001.100.10,2025 load addition,BATLOM,OM601,OM - Panels OM: Preventative Mntce
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25P002,Modules O&M: Minor Corrective,Modules O&M: Minor Corrective,100022199,1/1/2025,3/31/2026,OM,10,General,BATL25P002.100.10,2025 load addition,BATLOM,OM603,OM - Panels OM: Minor Corrective
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25P003,Modules O&M: Major Corrective,Modules O&M: Major Corrective,100022132,1/1/2025,3/31/2026,OM,10,General,BATL25P003.100.10,2025 load addition,BATLOM,OM604,OM - Panels OM: Major Corrective
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25P004,Modules O&M: Panel Cleaning,Modules O&M: Panel Cleaning,100022266,1/1/2025,3/31/2026,OM,10,General,BATL25P004.100.10,2025 load addition,BATLOM,OM602,OM - Panels OM: Panel Cleaning
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25B001,BoP: Elec BoP: Corrective,BoP: Elec BoP: Corrective,100021201,1/1/2025,3/31/2026,OM,10,General,SUNB25B001.100.10,2025 load addition,SUNBOM,OM502,OM - BoP: Elec BoP: Corrective
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25B002,BoP: Elec BoP: Preventative,BoP: Elec BoP: Preventative,100021284,1/1/2025,3/31/2026,OM,10,General,SUNB25B002.100.10,2025 load addition,SUNBOM,OM501,OM - BoP: Elec BoP: Preventative
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25B003,BoP: Met Mast/Met Station BoP,BoP: Met Mast/Met Station BoP,100021378,1/1/2025,3/31/2026,OM,10,General,SUNB25B003.100.10,2025 load addition,SUNBOM,OM503,OM - BoP: Met Mast/Met Station BoP
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25B004,BoP: Vegetation Management ,BoP: Vegetation Management ,100021452,1/1/2025,3/31/2026,OM,10,General,SUNB25B004.100.10,2025 load addition,SUNBOM,OM504,OM - BoP: Vegetation Management 
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25B005,BoP: Civil BoP,BoP: Civil BoP,100021110,1/1/2025,3/31/2026,OM,10,General,SUNB25B005.100.10,2025 load addition,SUNBOM,OM505,OM - BoP: Civil BoP
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G002,Preventative Mntce: Site Non-Tech,Preventative Mntce: Site Non-Tech,100021832,1/1/2025,3/31/2026,OM,10,General,SUNB25G002.100.10,2025 load addition,SUNBOM,OM202,OM - Preventative Mntce: Site Non-Tech
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G005,Solar O&M: Minor Corrective,Solar O&M: Minor Corrective,100021769,1/1/2025,3/31/2026,OM,10,General,SUNB25G005.100.10,2025 load addition,SUNBOM,OM203,OM - Solar OM: Minor Corrective
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G006,Preventative Mntce: Site ,Preventative Mntce: Site ,100021909,1/1/2025,3/31/2026,OM,10,General,SUNB25G006.100.10,2025 load addition,SUNBOM,OM201,OM - Preventative Mntce: Site 
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G007,Ops Support: Site Specific,Ops Support: Site Specific,100022470,1/1/2025,3/31/2026,OM,10,General,SUNB25G007.100.10,2025 load addition,SUNBOM,OM710,OM - Ops Support: Site Specific
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G008,Issuance Fee,Issuance Fee,100022580,1/1/2025,3/31/2026,OM,10,General,SUNB25G008.100.10,2025 load addition,SUNBOM,OM706,OM - Issuance Fee
